user_id,age,sex,occupation
1,19,M,daefef
2,74,M,Self-employed
3,43,M,Scientist
4,63,M,Executive
5,43,M,Writer
6,68,F,Homemaker
7,53,M,Educator
8,43,M,Programmer
9,43,M,Technician
10,53,F,Educator
11,43,F,Educator
12,43,M,Programmer
13,63,M,Educator
14,53,M,Other
15,43,M,Executive
16,53,F,Other
17,68,M,Educator
18,36,F,Administrator
19,19,M,Student
20,43,M,Sales
21,36,M,Self-employed
22,36,M,Scientist
23,53,M,Other
24,43,F,Executive
25,36,M,College
26,43,M,Executive
27,43,M,Lawyer
28,43,F,Educator
29,53,M,Executive
30,53,F,Executive
31,74,M,Executive
32,43,F,Other
33,63,M,Administrator
34,36,F,Other
35,63,M,Educator
36,43,M,Administrator
37,43,F,Homemaker
38,36,F,College
39,36,M,College
40,63,M,Other
41,36,F,College
42,43,M,Farmer
43,43,M,Programmer
44,63,M,Technician
45,63,F,Self-employed
46,36,M,Unemployed
47,36,M,College
48,43,M,College
49,36,M,Programmer
50,43,F,Artist
51,19,F,Student
52,36,M,College
53,43,M,Other
54,68,M,Educator
55,53,F,Programmer
56,53,M,Writer
57,36,M,Unemployed
58,43,M,Artist
59,68,F,Educator
60,68,M,Educator
61,43,M,Technician
62,53,F,Administrator
63,36,M,College
64,36,M,Educator
65,53,M,Programmer
66,43,M,Tradesman
67,68,F,Customer Service
68,36,M,College
69,43,F,Educator
70,36,M,College
71,43,M,Sales
72,63,F,Other
73,36,M,College
74,53,M,Sales
75,19,F,Student
76,53,M,Executive
77,36,M,College
78,63,F,Educator
79,63,F,Other
80,74,M,Educator
81,43,F,Other
82,43,M,Technician
83,43,F,Artist
84,36,M,College
85,36,M,College
86,19,F,Student
87,43,M,Sales
88,63,F,Educator
89,74,F,Homemaker
90,74,M,Retired
91,53,M,Executive
92,36,F,College
93,43,M,Technician
94,43,M,Technician
95,63,M,Other
96,43,F,Self-employed
97,53,F,Administrator
98,53,F,Executive
99,19,F,Student
100,53,M,Technician
101,36,F,Administrator
102,53,M,Unemployed
103,63,M,Executive
104,43,M,Programmer
105,63,M,Programmer
106,53,F,Lawyer
107,63,M,Tradesman
108,43,M,Programmer
109,63,M,Scientist
110,43,M,Artist
111,53,M,Scientist
112,43,M,Self-employed
113,36,M,Programmer
114,43,F,Artist
115,43,M,Technician
116,43,M,Technician
117,43,M,Technician
118,53,M,Technician
119,19,F,Student
120,43,M,Lawyer
121,53,M,Executive
122,36,F,College
123,53,M,Homemaker
124,74,M,Executive
125,63,M,Sales
126,36,M,Homemaker
127,63,F,Administrator
128,74,M,Doctor
129,43,M,Lawyer
130,53,M,Technician
131,36,M,College
132,43,M,Technician
133,43,F,Other
134,43,M,Other
135,36,M,College
136,36,M,Artist
137,63,F,Doctor
138,36,M,Writer
139,43,F,Writer
140,53,F,Educator
141,53,M,Retired
142,43,M,Executive
143,36,M,Administrator
144,43,M,Technician
145,36,M,College
146,53,F,Writer
147,36,M,College
148,68,M,Technician
149,43,M,Educator
150,53,M,Executive
151,43,F,Writer
152,36,M,College
153,19,M,Student
154,68,M,Writer
155,53,M,Programmer
156,63,F,Executive
157,53,M,Self-employed
158,74,M,Executive
159,63,F,Other
160,53,M,Executive
161,63,M,Self-employed
162,36,F,College
163,36,M,College
164,74,F,Retired
165,36,M,Self-employed
166,36,M,College
167,43,F,Lawyer
168,68,F,Other
169,43,M,Executive
170,43,M,Lawyer
171,68,F,Technician
172,43,M,Administrator
173,43,M,Other
174,43,M,Self-employed
175,43,F,Artist
176,36,F,Administrator
177,68,M,Educator
178,74,M,Technician
179,43,M,Other
180,63,M,Programmer
181,36,M,Technician
182,36,M,College
183,63,F,Educator
184,43,F,Other
185,63,M,Other
186,36,M,Customer Service
187,63,F,Educator
188,74,M,Self-employed
189,36,M,Other
190,43,M,Technician
191,36,M,College
192,36,M,Educator
193,63,F,Scientist
194,19,F,Student
195,43,M,Programmer
196,53,F,Homemaker
197,36,M,Sales
198,43,M,Programmer
199,36,M,College
200,36,F,College
201,53,F,Artist
202,36,M,College
203,36,F,College
204,43,M,Executive
205,53,M,Programmer
206,43,M,Technician
207,43,M,Programmer
208,53,M,Technician
209,53,M,Educator
210,19,F,Student
211,63,M,Technician
212,43,M,Self-employed
213,36,F,College
214,36,M,Writer
215,53,M,Sales
216,63,M,Retired
217,36,M,College
218,53,M,Sales
219,43,F,College
220,43,M,Programmer
221,43,F,Other
222,43,M,Educator
223,43,M,Technician
224,36,F,College
225,43,M,Executive
226,53,M,Educator
227,53,M,Writer
228,43,M,Scientist
229,36,M,Student
230,63,M,Educator
231,43,M,Administrator
232,43,M,Writer
233,63,F,Writer
234,53,M,Executive
235,43,M,Other
236,43,M,Customer Service
237,43,M,Doctor
238,68,F,Executive
239,36,M,Unemployed
240,68,M,Technician
241,53,M,Writer
242,36,F,College
243,43,M,Self-employed
244,68,M,Executive
245,53,M,Self-employed
246,36,F,College
247,43,M,Technician
248,36,M,Technician
249,36,F,Sales
250,53,M,Self-employed
251,74,M,Technician
252,43,M,Programmer
253,43,F,Lawyer
254,53,M,Technician
255,53,M,Other
256,63,M,Self-employed
257,36,M,Tradesman
258,43,M,Executive
259,43,M,Educator
260,36,M,Unemployed
261,43,M,Writer
262,43,F,Educator
263,43,F,Executive
264,53,M,Other
265,53,F,Executive
266,53,M,Lawyer
267,63,M,Programmer
268,36,F,Programmer
269,43,M,Artist
270,68,M,Sales
271,36,M,College
272,36,M,Other
273,36,M,College
274,36,M,College
275,43,M,Other
276,63,M,Self-employed
277,53,F,Educator
278,63,M,Tradesman
279,43,M,Sales
280,68,M,Executive
281,53,F,Other
282,43,M,Technician
283,43,M,Other
284,43,M,Programmer
285,53,F,Other
286,43,M,Educator
287,68,M,Retired
288,43,F,Programmer
289,43,F,Other
290,43,F,Writer
291,53,M,Programmer
292,53,M,Executive
293,74,M,Educator
294,63,F,Homemaker
295,36,M,Other
296,68,M,Customer Service
297,36,M,Artist
298,36,F,College
299,43,M,Programmer
300,43,M,Executive
301,36,M,College
302,36,M,College
303,43,M,Executive
304,43,M,Other
305,36,F,Other
306,36,M,Other
307,68,M,Self-employed
308,43,M,Artist
309,43,M,College
310,36,F,College
311,36,M,College
312,68,F,Artist
313,36,F,College
314,74,F,Homemaker
315,74,F,Educator
316,74,M,Retired
317,53,M,Executive
318,74,F,Retired
319,68,F,Doctor
320,53,M,Doctor
321,36,M,College
322,74,M,Technician
323,63,M,Programmer
324,53,M,Technician
325,68,F,Administrator
326,68,M,Lawyer
327,53,M,Tradesman
328,53,M,Programmer
329,53,M,Executive
330,74,M,Executive
331,43,M,Executive
332,68,M,Educator
333,53,M,Artist
334,74,F,Artist
335,53,M,Tradesman
336,36,M,Other
337,36,M,Unemployed
338,53,M,Executive
339,68,M,Executive
340,43,F,Administrator
341,74,F,Retired
342,36,M,Programmer
343,53,F,Administrator
344,53,M,Sales
345,43,M,Programmer
346,43,F,Other
347,74,F,Educator
348,68,M,Executive
349,19,M,Student
350,63,M,Writer
351,36,M,College
352,36,M,College
353,53,F,Executive
354,53,M,Educator
355,36,M,Administrator
356,74,M,Writer
357,36,M,Other
358,74,F,Educator
359,43,M,Technician
360,53,M,Technician
361,43,F,Sales
362,53,M,Writer
363,36,M,Student
364,53,F,Educator
365,36,F,College
366,68,M,Scientist
367,68,M,Programmer
368,43,M,Other
369,53,M,Educator
370,36,M,Technician
371,36,M,College
372,36,F,College
373,43,F,Artist
374,53,F,Sales
375,43,M,Artist
376,53,M,Educator
377,43,M,Technician
378,36,F,Other
379,53,F,Educator
380,43,M,Artist
381,53,M,Technician
382,53,F,Writer
383,43,F,Executive
384,43,M,Lawyer
385,43,M,Doctor
386,43,M,Other
387,53,F,Executive
388,43,F,Other
389,43,M,Doctor
390,43,M,College
391,63,M,Lawyer
392,36,M,Executive
393,53,M,Technician
394,36,M,Other
395,36,M,Customer Service
396,43,M,Educator
397,53,M,Technician
398,43,M,Technician
399,53,F,Doctor
400,36,F,Administrator
401,36,M,Other
402,43,M,Lawyer
403,36,M,College
404,36,M,College
405,74,M,Educator
406,43,M,Writer
407,36,M,Technician
408,43,M,Lawyer
409,36,M,Programmer
410,43,F,Educator
411,63,F,Educator
412,53,M,Scientist
413,43,M,Lawyer
414,43,M,Other
415,53,F,Other
416,63,M,Sales
417,43,F,Other
418,43,F,Administrator
419,36,M,Administrator
420,53,M,Educator
421,63,F,Administrator
422,74,M,Technician
423,36,M,College
424,43,M,Technician
425,43,M,Programmer
426,36,M,College
427,53,M,Programmer
428,36,F,College
429,36,M,Other
430,36,F,Student
431,36,M,Student
432,63,M,Self-employed
433,68,M,Doctor
434,63,F,Administrator
435,43,M,Executive
436,36,M,College
437,53,M,Technician
438,36,M,Lawyer
439,53,M,Sales
440,74,M,Educator
441,53,M,Educator
442,43,M,Educator
443,43,M,Administrator
444,74,M,Other
445,63,M,Programmer
446,68,F,Other
447,63,F,Lawyer
448,43,M,Technician
449,43,M,Executive
450,63,M,Educator
451,74,M,Retired
452,68,M,Technician
453,36,M,College
454,43,M,Writer
455,53,F,Artist
456,53,M,Other
457,36,M,College
458,68,M,Self-employed
459,36,F,College
460,63,M,Tradesman
461,68,M,Executive
462,36,M,Self-employed
463,43,M,Executive
464,36,F,College
465,36,M,Unemployed
466,43,M,Customer Service
467,53,F,Administrator
468,19,F,Student
469,53,M,Doctor
470,19,F,Student
471,53,M,Executive
472,53,M,Other
473,36,F,College
474,43,M,Technician
475,43,F,Artist
476,53,M,Other
477,53,M,Sales
478,68,M,Self-employed
479,43,M,Programmer
480,36,F,College
481,63,M,Executive
482,43,M,Sales
483,36,M,Programmer
484,19,F,Student
485,74,M,Executive
486,74,M,Other
487,53,F,Technician
488,43,M,Programmer
489,36,M,College
490,19,M,Student
491,36,M,College
492,43,M,Programmer
493,68,M,Executive
494,53,F,Other
495,36,M,Student
496,36,M,College
497,43,F,Technician
498,53,M,Technician
499,43,F,Educator
500,36,F,Artist
501,43,M,Artist
502,53,M,Doctor
503,53,M,Lawyer
504,43,M,Artist
505,53,M,Technician
506,43,M,Self-employed
507,43,F,Other
508,43,M,Programmer
509,43,M,Artist
510,36,M,Programmer
511,63,F,College
512,53,M,Other
513,43,M,Other
514,43,M,Artist
515,43,M,Educator
516,74,F,Sales
517,43,F,Sales
518,53,F,Programmer
519,53,F,Sales
520,53,F,Writer
521,74,M,Executive
522,43,M,Programmer
523,68,M,Executive
524,36,M,Other
525,53,M,Doctor
526,63,M,Technician
527,43,F,Artist
528,36,F,Technician
529,53,M,Programmer
530,43,M,Artist
531,36,F,Sales
532,43,M,Executive
533,43,M,Programmer
534,43,M,Scientist
535,53,M,Doctor
536,43,M,Writer
537,63,M,Sales
538,74,M,Self-employed
539,43,M,Artist
540,36,M,Educator
541,36,F,College
542,36,M,College
543,43,M,Customer Service
544,53,M,Programmer
545,53,M,Technician
546,43,F,Other
547,53,M,Programmer
548,53,F,Self-employed
549,43,M,Doctor
550,63,M,Farmer
551,53,M,Writer
552,68,M,Tradesman
553,43,M,Artist
554,43,M,Programmer
555,36,M,College
556,43,F,Homemaker
557,74,M,Educator
558,53,M,Writer
559,43,F,Executive
560,63,M,Scientist
561,36,F,Sales
562,53,M,Writer
563,43,M,College
564,63,M,Educator
